,Regions,Periods,LiveBornChildren_3,NetMigrationIncludingAdministrative_17
0,Groningen,1960,8868.0,-1748.0
1,Groningen,1961,9062.0,-1087.0
2,Groningen,1962,9165.0,-623.0
3,Groningen,1963,9518.0,547.0
4,Groningen,1964,9671.0,305.0
5,Groningen,1965,9632.0,-148.0
6,Groningen,1966,9558.0,667.0
7,Groningen,1967,9707.0,-1617.0
8,Groningen,1968,9366.0,-2358.0
9,Groningen,1969,10088.0,-1952.0
10,Groningen,1970,9774.0,196.0
11,Groningen,1971,9219.0,-203.0
12,Groningen,1972,8895.0,-200.0
13,Groningen,1973,7776.0,-673.0
14,Groningen,1974,7341.0,921.0
15,Groningen,1975,6952.0,1751.0
16,Groningen,1976,6862.0,2372.0
17,Groningen,1977,6624.0,1764.0
18,Groningen,1978,6716.0,1924.0
19,Groningen,1979,6644.0,793.0
20,Groningen,1980,6898.0,1321.0
21,Groningen,1981,6730.0,531.0
22,Groningen,1982,6648.0,75.0
23,Groningen,1983,6449.0,-686.0
24,Groningen,1984,6366.0,-1665.0
25,Groningen,1985,6537.0,-2203.0
26,Groningen,1986,6551.0,-2835.0
27,Groningen,1987,6515.0,-2789.0
28,Groningen,1988,6298.0,-2743.0
29,Groningen,1989,6284.0,-2319.0
30,Groningen,1990,6640.0,-541.0
31,Groningen,1991,6550.0,-554.0
32,Groningen,1992,6199.0,-392.0
33,Groningen,1993,6248.0,627.0
34,Groningen,1994,6455.0,305.0
35,Groningen,1995,6328.0,-888.0
36,Groningen,1996,6148.0,-616.0
37,Groningen,1997,6336.0,-952.0
38,Groningen,1998,6472.0,992.0
39,Groningen,1999,6515.0,1706.0
40,Groningen,2000,6510.0,2784.0
41,Groningen,2001,6626.0,3085.0
42,Groningen,2002,6523.0,1472.0
43,Groningen,2003,6438.0,288.0
44,Groningen,2004,6141.0,-321.0
45,Groningen,2005,5943.0,-1831.0
46,Groningen,2006,5838.0,-1186.0
47,Groningen,2007,5677.0,-999.0
48,Groningen,2008,5908.0,-166.0
49,Groningen,2009,5910.0,1811.0
50,Groningen,2010,5732.0,1968.0
51,Groningen,2011,5853.0,1232.0
52,Groningen,2012,5604.0,681.0
53,Groningen,2013,5326.0,1078.0
54,Groningen,2014,5414.0,1131.0
55,Groningen,2015,5329.0,-91.0
56,Groningen,2016,5406.0,55.0
57,Groningen,2017,5092.0,-45.0
58,Groningen,2018,4933.0,1744.0
59,Groningen,2019,5042.0,2313.0
60,Groningen,2020,4956.0,1803.0
61,Friesland,1960,10280.0,-4503.0
62,Friesland,1961,10412.0,-3215.0
63,Friesland,1962,10315.0,-2057.0
64,Friesland,1963,10517.0,-2125.0
65,Friesland,1964,10653.0,-1572.0
66,Friesland,1965,10791.0,-1014.0
67,Friesland,1966,10702.0,-675.0
68,Friesland,1967,10720.0,-1082.0
69,Friesland,1968,10843.0,-838.0
70,Friesland,1969,11279.0,-974.0
71,Friesland,1970,10826.0,-752.0
72,Friesland,1971,10436.0,279.0
73,Friesland,1972,9966.0,2039.0
74,Friesland,1973,9019.0,4277.0
75,Friesland,1974,8407.0,3202.0
76,Friesland,1975,8069.0,4211.0
77,Friesland,1976,8046.0,2730.0
78,Friesland,1977,7676.0,4123.0
79,Friesland,1978,7757.0,2904.0
80,Friesland,1979,7930.0,2726.0
81,Friesland,1980,8384.0,2049.0
82,Friesland,1981,8270.0,137.0
83,Friesland,1982,7925.0,258.0
84,Friesland,1983,7839.0,-653.0
85,Friesland,1984,7703.0,-1842.0
86,Friesland,1985,7770.0,-1958.0
87,Friesland,1986,7899.0,-1510.0
88,Friesland,1987,7733.0,-2225.0
89,Friesland,1988,7448.0,-1726.0
90,Friesland,1989,7594.0,-1961.0
91,Friesland,1990,7499.0,-999.0
92,Friesland,1991,7842.0,-521.0
93,Friesland,1992,7587.0,-198.0
94,Friesland,1993,7614.0,1325.0
95,Friesland,1994,7467.0,636.0
96,Friesland,1995,7555.0,764.0
97,Friesland,1996,7424.0,1485.0
98,Friesland,1997,7548.0,1171.0
99,Friesland,1998,7719.0,1151.0
100,Friesland,1999,7799.0,1274.0
101,Friesland,2000,8009.0,3678.0
102,Friesland,2001,7912.0,3546.0
103,Friesland,2002,7987.0,1558.0
104,Friesland,2003,7932.0,-2.0
105,Friesland,2004,7551.0,-1046.0
106,Friesland,2005,7377.0,-2604.0
107,Friesland,2006,7233.0,-1435.0
108,Friesland,2007,7059.0,-680.0
109,Friesland,2008,7026.0,75.0
110,Friesland,2009,7109.0,-16.0
111,Friesland,2010,7012.0,-478.0
112,Friesland,2011,6655.0,-1058.0
113,Friesland,2012,6502.0,-979.0
114,Friesland,2013,6263.0,-919.0
115,Friesland,2014,6310.0,-563.0
116,Friesland,2015,6011.0,-173.0
117,Friesland,2016,6017.0,1117.0
118,Friesland,2017,5967.0,696.0
119,Friesland,2018,5779.0,1049.0
120,Friesland,2019,5957.0,2586.0
121,Friesland,2020,5841.0,2107.0
122,Drenthe,1960,6766.0,-1238.0
123,Drenthe,1961,6871.0,-154.0
124,Drenthe,1962,6774.0,526.0
125,Drenthe,1963,6913.0,990.0
126,Drenthe,1964,7078.0,1502.0
127,Drenthe,1965,7050.0,1487.0
128,Drenthe,1966,7089.0,1259.0
129,Drenthe,1967,6983.0,1706.0
130,Drenthe,1968,7107.0,1505.0
131,Drenthe,1969,7327.0,2347.0
132,Drenthe,1970,7268.0,1696.0
133,Drenthe,1971,6911.0,3238.0
134,Drenthe,1972,6613.0,3322.0
135,Drenthe,1973,6085.0,4420.0
136,Drenthe,1974,5807.0,4532.0
137,Drenthe,1975,5463.0,3183.0
138,Drenthe,1976,5411.0,1884.0
139,Drenthe,1977,5105.0,1261.0
140,Drenthe,1978,5181.0,1120.0
141,Drenthe,1979,5042.0,844.0
142,Drenthe,1980,5352.0,1118.0
143,Drenthe,1981,5186.0,325.0
144,Drenthe,1982,4931.0,-357.0
145,Drenthe,1983,4895.0,1304.0
146,Drenthe,1984,5038.0,768.0
147,Drenthe,1985,5234.0,1057.0
148,Drenthe,1986,5305.0,650.0
149,Drenthe,1987,5247.0,955.0
150,Drenthe,1988,5230.0,1189.0
151,Drenthe,1989,5090.0,773.0
152,Drenthe,1990,5387.0,1117.0
153,Drenthe,1991,5350.0,832.0
154,Drenthe,1992,5250.0,1361.0
155,Drenthe,1993,5412.0,2000.0
156,Drenthe,1994,5256.0,2210.0
157,Drenthe,1995,5305.0,1550.0
158,Drenthe,1996,5349.0,2174.0
159,Drenthe,1997,5421.0,2242.0
160,Drenthe,1998,5640.0,1130.0
161,Drenthe,1999,5770.0,1259.0
162,Drenthe,2000,5822.0,3377.0
163,Drenthe,2001,5842.0,2723.0
164,Drenthe,2002,5763.0,1390.0
165,Drenthe,2003,5516.0,-48.0
166,Drenthe,2004,5320.0,-103.0
167,Drenthe,2005,5099.0,276.0
168,Drenthe,2006,5013.0,933.0
169,Drenthe,2007,4858.0,1382.0
170,Drenthe,2008,4914.0,1280.0
171,Drenthe,2009,5022.0,556.0
172,Drenthe,2010,4750.0,331.0
173,Drenthe,2011,4616.0,-572.0
174,Drenthe,2012,4406.0,-455.0
175,Drenthe,2013,4174.0,-313.0
176,Drenthe,2014,4302.0,-104.0
177,Drenthe,2015,4029.0,1010.0
178,Drenthe,2016,4208.0,4025.0
179,Drenthe,2017,4191.0,1349.0
180,Drenthe,2018,3992.0,1440.0
181,Drenthe,2019,4110.0,2595.0
182,Drenthe,2020,4135.0,2533.0
183,Overijssel,1960,17611.0,572.0
184,Overijssel,1961,17683.0,1003.0
185,Overijssel,1962,17855.0,-763.0
186,Overijssel,1963,18747.0,-881.0
187,Overijssel,1964,19089.0,1096.0
188,Overijssel,1965,18927.0,1136.0
189,Overijssel,1966,18432.0,1098.0
190,Overijssel,1967,18917.0,-3643.0
191,Overijssel,1968,18872.0,-557.0
192,Overijssel,1969,19456.0,1722.0
193,Overijssel,1970,18675.0,854.0
194,Overijssel,1971,17799.0,2405.0
195,Overijssel,1972,17039.0,1234.0
196,Overijssel,1973,15883.0,2289.0
197,Overijssel,1974,15145.0,2912.0
198,Overijssel,1975,14476.0,1911.0
199,Overijssel,1976,14340.0,1156.0
200,Overijssel,1977,14049.0,1893.0
201,Overijssel,1978,14213.0,2151.0
202,Overijssel,1979,14060.0,2456.0
203,Overijssel,1980,14582.0,2962.0
204,Overijssel,1981,14237.0,-168.0
205,Overijssel,1982,13899.0,-1009.0
206,Overijssel,1983,13761.0,-1637.0
207,Overijssel,1984,13731.0,-2250.0
208,Overijssel,1985,14059.0,-1903.0
209,Overijssel,1986,13472.0,310.0
210,Overijssel,1987,13550.0,902.0
211,Overijssel,1988,13243.0,186.0
212,Overijssel,1989,13480.0,921.0
213,Overijssel,1990,13922.0,807.0
214,Overijssel,1991,13679.0,1476.0
215,Overijssel,1992,13893.0,1720.0
216,Overijssel,1993,13845.0,1388.0
217,Overijssel,1994,13853.0,1003.0
218,Overijssel,1995,13231.0,-197.0
219,Overijssel,1996,13314.0,-32.0
220,Overijssel,1997,13533.0,1435.0
221,Overijssel,1998,14088.0,1967.0
222,Overijssel,1999,14284.0,2414.0
223,Overijssel,2000,14924.0,3285.0
224,Overijssel,2001,14562.0,2646.0
225,Overijssel,2002,14663.0,1667.0
226,Overijssel,2003,14857.0,-604.0
227,Overijssel,2004,14098.0,-1005.0
228,Overijssel,2005,13942.0,-690.0
229,Overijssel,2006,13667.0,-1589.0
230,Overijssel,2007,13368.0,-1074.0
231,Overijssel,2008,13411.0,913.0
232,Overijssel,2009,13260.0,757.0
233,Overijssel,2010,13180.0,233.0
234,Overijssel,2011,12651.0,-216.0
235,Overijssel,2012,12367.0,-1263.0
236,Overijssel,2013,12151.0,-2067.0
237,Overijssel,2014,12092.0,-1509.0
238,Overijssel,2015,11765.0,1843.0
239,Overijssel,2016,11728.0,1837.0
240,Overijssel,2017,11345.0,2743.0
241,Overijssel,2018,11178.0,4271.0
242,Overijssel,2019,11225.0,5286.0
243,Overijssel,2020,11099.0,4614.0
244,Flevoland,1960,,
245,Flevoland,1961,,
246,Flevoland,1962,,
247,Flevoland,1963,,
248,Flevoland,1964,,
249,Flevoland,1965,,
250,Flevoland,1966,,
251,Flevoland,1967,,
252,Flevoland,1968,,
253,Flevoland,1969,,
254,Flevoland,1970,,
255,Flevoland,1971,,
256,Flevoland,1972,,
257,Flevoland,1973,,
258,Flevoland,1974,,
259,Flevoland,1975,,
260,Flevoland,1976,,
261,Flevoland,1977,,
262,Flevoland,1978,,
263,Flevoland,1979,,
264,Flevoland,1980,,
265,Flevoland,1981,,
266,Flevoland,1982,,
267,Flevoland,1983,,
268,Flevoland,1984,,
269,Flevoland,1985,,
270,Flevoland,1986,3357.0,5454.0
271,Flevoland,1987,3444.0,5745.0
272,Flevoland,1988,3692.0,6114.0
273,Flevoland,1989,3506.0,6356.0
274,Flevoland,1990,3889.0,7155.0
275,Flevoland,1991,3954.0,8498.0
276,Flevoland,1992,3948.0,7858.0
277,Flevoland,1993,4139.0,7389.0
278,Flevoland,1994,4208.0,5907.0
279,Flevoland,1995,4144.0,7808.0
280,Flevoland,1996,4170.0,5901.0
281,Flevoland,1997,4365.0,8811.0
282,Flevoland,1998,4785.0,10013.0
283,Flevoland,1999,4933.0,7435.0
284,Flevoland,2000,5064.0,8339.0
285,Flevoland,2001,5330.0,9085.0
286,Flevoland,2002,5347.0,6083.0
287,Flevoland,2003,5452.0,4976.0
288,Flevoland,2004,5302.0,2344.0
289,Flevoland,2005,5290.0,1456.0
290,Flevoland,2006,5179.0,468.0
291,Flevoland,2007,5219.0,982.0
292,Flevoland,2008,5101.0,1523.0
293,Flevoland,2009,5292.0,1086.0
294,Flevoland,2010,5310.0,906.0
295,Flevoland,2011,5090.0,624.0
296,Flevoland,2012,4991.0,124.0
297,Flevoland,2013,4687.0,-998.0
298,Flevoland,2014,4922.0,-1183.0
299,Flevoland,2015,4735.0,-210.0
300,Flevoland,2016,4706.0,1415.0
301,Flevoland,2017,4565.0,1582.0
302,Flevoland,2018,4793.0,2581.0
303,Flevoland,2019,4892.0,4073.0
304,Flevoland,2020,4871.0,3066.0
305,Gelderland,1960,27407.0,3072.0
306,Gelderland,1961,28840.0,7563.0
307,Gelderland,1962,29015.0,7261.0
308,Gelderland,1963,29133.0,5484.0
309,Gelderland,1964,29305.0,6147.0
310,Gelderland,1965,28845.0,8073.0
311,Gelderland,1966,28995.0,7112.0
312,Gelderland,1967,28771.0,4999.0
313,Gelderland,1968,28918.0,6493.0
314,Gelderland,1969,30400.0,8283.0
315,Gelderland,1970,29751.0,11208.0
316,Gelderland,1971,28079.0,9713.0
317,Gelderland,1972,26425.0,8864.0
318,Gelderland,1973,24510.0,9808.0
319,Gelderland,1974,23349.0,9211.0
320,Gelderland,1975,22161.0,10137.0
321,Gelderland,1976,22076.0,4868.0
322,Gelderland,1977,21664.0,6093.0
323,Gelderland,1978,21597.0,4438.0
324,Gelderland,1979,21543.0,5323.0
325,Gelderland,1980,22154.0,5712.0
326,Gelderland,1981,21451.0,2177.0
327,Gelderland,1982,20980.0,1092.0
328,Gelderland,1983,20622.0,1682.0
329,Gelderland,1984,21023.0,2828.0
330,Gelderland,1985,21327.0,4740.0
331,Gelderland,1986,22482.0,2975.0
332,Gelderland,1987,22528.0,3601.0
333,Gelderland,1988,22522.0,3405.0
334,Gelderland,1989,22836.0,2188.0
335,Gelderland,1990,23891.0,4349.0
336,Gelderland,1991,24190.0,3305.0
337,Gelderland,1992,23548.0,3349.0
338,Gelderland,1993,23620.0,4762.0
339,Gelderland,1994,23792.0,5297.0
340,Gelderland,1995,23312.0,4458.0
341,Gelderland,1996,23171.0,2856.0
342,Gelderland,1997,23461.0,2844.0
343,Gelderland,1998,24425.0,3188.0
344,Gelderland,1999,24508.0,4594.0
345,Gelderland,2000,25370.0,6378.0
346,Gelderland,2001,24626.0,6423.0
347,Gelderland,2002,24826.0,3406.0
348,Gelderland,2003,24271.0,-643.0
349,Gelderland,2004,23235.0,-2279.0
350,Gelderland,2005,22202.0,-2100.0
351,Gelderland,2006,22213.0,-3012.0
352,Gelderland,2007,21191.0,-687.0
353,Gelderland,2008,21695.0,1361.0
354,Gelderland,2009,21350.0,2622.0
355,Gelderland,2010,21142.0,1450.0
356,Gelderland,2011,20557.0,2066.0
357,Gelderland,2012,19835.0,2479.0
358,Gelderland,2013,19683.0,1517.0
359,Gelderland,2014,19851.0,4022.0
360,Gelderland,2015,19525.0,7100.0
361,Gelderland,2016,19499.0,11224.0
362,Gelderland,2017,19534.0,11378.0
363,Gelderland,2018,19347.0,11513.0
364,Gelderland,2019,19426.0,13640.0
365,Gelderland,2020,19885.0,11757.0
366,Utrecht,1960,14257.0,652.0
367,Utrecht,1961,14876.0,1652.0
368,Utrecht,1962,14708.0,2755.0
369,Utrecht,1963,15053.0,2626.0
370,Utrecht,1964,15207.0,3892.0
371,Utrecht,1965,14970.0,3568.0
372,Utrecht,1966,14550.0,3953.0
373,Utrecht,1967,14623.0,2590.0
374,Utrecht,1968,14723.0,7636.0
375,Utrecht,1969,15912.0,7645.0
376,Utrecht,1970,15111.0,2620.0
377,Utrecht,1971,14390.0,3282.0
378,Utrecht,1972,13517.0,4753.0
